sc23 company name,sc23 booth number,sc23 booth area sqft,sc23 normalized company name,sc24 company name,sc24 booth number,sc24 booth area sqft,sc24 normalized company name,canonical name,max booth area sqft,sqft increase,sqft abs change
Hitachi Vantara,1981,600.0,hitachi vantara,Hitachi Vantara,1549,900.0,hitachi vantara,hitachi vantara,900.0,300.0,300.0
PASQAL,2705,100.0,pasqal,Pasqal,4451,400.0,pasqal,pasqal,400.0,300.0,300.0
Bluefors,2804,100.0,bluefors,Bluefors,4339,400.0,bluefors,bluefors,400.0,300.0,300.0
"PIER Group, LLC",100,256.0,pier group llc,,,0.0,,pier group llc,256.0,-256.0,256.0
Unifabrix,2315,225.0,unifabrix,,,0.0,,unifabrix,225.0,-225.0,225.0
HPE,2321,225.0,hpe,,,0.0,,hpe,225.0,-225.0,225.0
"Microchip Technology, Inc.",2331,225.0,microchip technology inc,,,0.0,,microchip technology inc,225.0,-225.0,225.0
Alabama Supercomputer Authority,2138,100.0,alabama supercomputer authority,Alabama Supercomputer Authority,3738,300.0,alabama supercomputer authority,alabama supercomputer authority,300.0,200.0,200.0
,,0.0,,NNDC (New Nordic Data Cooling),4533,200.0,nndc new nordic data cooling,nndc new nordic data cooling,200.0,200.0,200.0
StorONE,2606,100.0,storone,StorONE,731,300.0,storone,storone,300.0,200.0,200.0
MEGWARE Computer,2055,200.0,megware computer,,,0.0,,megware computer,200.0,-200.0,200.0
InFlux Technologies Limited,789,200.0,influx technologies limited,,,0.0,,influx technologies limited,200.0,-200.0,200.0
Numerical Algorithms Group,813,200.0,numerical algorithms group,,,0.0,,numerical algorithms group,200.0,-200.0,200.0
Crusoe,2094,200.0,crusoe,,,0.0,,crusoe,200.0,-200.0,200.0
ACROSS & SEA projects,214,200.0,across sea projects,,,0.0,,across sea projects,200.0,-200.0,200.0
Lightelligence,1392,200.0,lightelligence,,,0.0,,lightelligence,200.0,-200.0,200.0
CoCoLink Corp.,274,200.0,cocolink corp,,,0.0,,cocolink corp,200.0,-200.0,200.0
ITBL Community,1701,400.0,itbl community,ITBL Community,3924,200.0,itbl community,itbl community,400.0,-200.0,200.0
ZutaCore,2600,200.0,zutacore,ZutaCore,545,400.0,zutacore,zutacore,400.0,200.0,200.0
Fujifilm Data Storage Solutions,2225,200.0,fujifilm data storage solutions,,,0.0,,fujifilm data storage solutions,200.0,-200.0,200.0
Advanced Computing Center for Research and Education,1743,1000.0,advanced computing center for research and education,Advanced Computing Center for Research and Education,3713,800.0,advanced computing center for research and education,advanced computing center for research and education,1000.0,-200.0,200.0
Enfabrica,586,200.0,enfabrica,Enfabrica,2115,400.0,enfabrica,enfabrica,400.0,200.0,200.0
,,0.0,,Renesas Electronics America,402,200.0,renesas electronics america,renesas electronics america,200.0,200.0,200.0
National Radio Astronomy Observatory,971,200.0,national radio astronomy observatory,,,0.0,,national radio astronomy observatory,200.0,-200.0,200.0
AIC Inc.,2037,200.0,aic inc,AIC Inc.,1107,400.0,aic inc,aic inc,400.0,200.0,200.0
Arcitecta,795,200.0,arcitecta,Arcitecta,2851,400.0,arcitecta,arcitecta,400.0,200.0,200.0
Apaltek Co. Ltd.,1689,400.0,apaltek,Shenzhen Apaltek Co. Ltd.,4214,200.0,apaltek,apaltek,400.0,-200.0,200.0
KISTI,1571,1200.0,kisti,KISTI,3443,1000.0,kisti,kisti,1200.0,-200.0,200.0
Dolphin Interconnect Solutions AS,242,200.0,dolphin interconnect solutions as,,,0.0,,dolphin interconnect solutions as,200.0,-200.0,200.0
CSC-IT Center for Science / LUMI,206,200.0,cscit center for science lumi,,,0.0,,cscit center for science lumi,200.0,-200.0,200.0
,,0.0,,Quantinuum,4351,200.0,quantinuum,quantinuum,200.0,200.0,200.0
Boyd,200,200.0,boyd,Boyd,4515,400.0,boyd,boyd,400.0,200.0,200.0
Maxwell Labs,1074,200.0,maxwell labs,,,0.0,,maxwell labs,200.0,-200.0,200.0
,,0.0,,Cisco,2043,200.0,cisco,cisco,200.0,200.0,200.0
,,0.0,,nAG,2508,200.0,nag,nag,200.0,200.0,200.0
,,0.0,,EticaAG,1300,200.0,eticaag,eticaag,200.0,200.0,200.0
atNorth,289,200.0,atnorth,,,0.0,,atnorth,200.0,-200.0,200.0
,,0.0,,Dolphin Interconnect Solutions,1014,200.0,dolphin interconnect solutions,dolphin interconnect solutions,200.0,200.0,200.0
,,0.0,,"KAORI Heat Treatment Co., Ltd.",450,200.0,kaori heat treatment co ltd,kaori heat treatment co ltd,200.0,200.0,200.0
,,0.0,,LINKS Foundation Research Center,4039,200.0,links foundation research center,links foundation research center,200.0,200.0,200.0
,,0.0,,Lessengers,609,200.0,lessengers,lessengers,200.0,200.0,200.0
,,0.0,,Applied Digital,4859,200.0,applied digital,applied digital,200.0,200.0,200.0
cunoFS,1487,200.0,cunofs,,,0.0,,cunofs,200.0,-200.0,200.0
,,0.0,,"AEWIN Technologies Co., Ltd.",1146,200.0,aewin technologies co ltd,aewin technologies co ltd,200.0,200.0,200.0
,,0.0,,Dnotitia,442,200.0,dnotitia,dnotitia,200.0,200.0,200.0
,,0.0,,Nscale,2659,200.0,nscale,nscale,200.0,200.0,200.0
,,0.0,,Accelsius,4048,200.0,accelsius,accelsius,200.0,200.0,200.0
,,0.0,,Aetina USA Corporation,420,200.0,aetina usa corporation,aetina usa corporation,200.0,200.0,200.0
,,0.0,,Link Oregon,750,200.0,link oregon,link oregon,200.0,200.0,200.0
,,0.0,,NPO Tsukuba OSS Technical Support Center / Supercomputing Japan,4624,200.0,npo tsukuba oss technical support center supercomputing japan,npo tsukuba oss technical support center supercomputing japan,200.0,200.0,200.0
,,0.0,,FLC Technology,3649,200.0,flc technology,flc technology,200.0,200.0,200.0
MemVerge,1407,200.0,memverge,,,0.0,,memverge,200.0,-200.0,200.0
